"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Phycae","Physcia_caesia",0.01,-11,5.43,15.1,6.37,9.1,17.27,24.5,7,-29.61,-6.41,7.53,11.8,11.77,23.2,40,10.78,208.9,637.5,1850.85,473.75,78.75,278.75,590.15,261,-4.21,19.2,63.8,19.72,22.4,57.3,206.8,49.21,49.95,121.5,249.2,67.62,2,138.75,527.77,193,-53.4,-36.02,-12.81,12.83,24.53,35.3,41.3,7.28,168.95,690.5,1338.4,424.62,0.95,198,901.57,405.08,47.67,60,76,11,26,59,79,26.06,7.81,16.36,24.33,7.34
"Phycri","Physcia_crispa",0,11.01,19.7,23.39,1.56,21.95,27.65,28.64,0.73,0.93,10.65,16.48,3.12,10.72,17.08,20.78,2.83,560.75,1360,1605.17,288.76,362.55,647,900.55,209.75,17.92,22.3,51.7,4.96,29.89,40.26,73.26,11.88,162,284.5,344.4,40.5,0,0,22.93,1,-27.54,-14.15,-2.46,4.97,37.08,39.9,43.07,1.39,1155.3,1445.25,1627.05,142.88,75.93,281.25,921.05,226.4,58,62.5,71,5.19,59.3,67,75,5.65,21.75,29.87,32.56,1.65
"Phydim","Physcia_dimidiata",0.08,4.2,10.9,18.4,6.6,15.5,22.3,27.73,4.88,-8.3,0.5,12.62,10.1,7.4,21.1,27.85,6.2,201,420,823.5,216,17,128.5,335,164,21.15,49.37,132.65,33.55,52.9,179.2,1230.5,342.95,91,162,355.5,112,0,20,207,47.5,-40.32,-26.8,-3.9,18.9,34,40.14,44.2,4.2,693,1077,1501.33,361,335,754,1208,387,48,54,67,8,27.5,48,71,15.6,14.2,21.7,28.4,5.12
"Phydub","Physcia_dubia",0.01,-10.05,5.5,15.81,5.22,10.17,18.4,25.41,6.51,-27.27,-6.26,8.21,8.56,15.64,23.13,37.35,9.33,219.5,662.5,1413,439.75,58,268,533.62,261.12,-0.02,20.35,71.7,18.77,29.12,60.95,314.55,63.5,50,123,268,62.25,2.5,132.33,572.88,214.38,-53.1,-36.28,-12,9.82,25.08,36.1,42,6.02,187,703.67,1307,315.52,30.75,264.88,946.25,434.6,48,59,71,9,24.12,54,77.25,24,8.93,17.56,25.47,7.34
"Phymil","Physcia_millegrana",0.18,4.05,9.5,16.8,5.91,18.4,22.43,27.3,4.66,-13.04,-4.1,6.65,7.74,19.83,26.13,32.5,4.38,665.48,1008,1320.8,319.19,388.1,501.33,600,76.12,14.3,20.6,25.29,3.36,37.41,45.72,55.24,7.98,122,159.75,227.8,39.25,2,72.5,250.45,103.62,-40.06,-29.9,-19.11,7.6,35.27,38.9,41.98,3.34,632.1,853.1,1290.7,344.25,76.55,159.9,330,96.62,57,61.74,68,3.55,57,63.33,69.82,5.5,17.98,22.41,28.85,5.03
"Phyneo","Physcia_neogaea",0.01,11.8,19.1,24.14,4.4,21.8,27.7,28.76,1,-0.9,9.5,19.08,6.4,9.62,18.1,26.12,4.7,829.8,1320,1539.6,267,403,593,859,240,17.16,21.5,35.54,4.7,31.06,43.7,70.1,13.3,170,269,352.4,93,0,1,21.2,3,-27.8,-15.3,0.45,9.5,36.36,40,43.4,2.8,1047.4,1414,1544.3,227,93.8,245,681.4,151,58.2,62,72,4,58.2,66.67,76,7,21.57,29.75,32.37,1.97
"Physem","Physcia_leptalea",0,4.05,7.31,16.51,6.86,15.11,20.05,22.97,3.15,-7.66,-1.8,11.92,13.9,9.69,18.2,27.7,10.05,445.8,712.5,2422.99,429.81,16.57,203.5,590.52,432.25,9.29,22.7,61.14,17.26,29.62,81.2,1406.71,603.76,90.9,151.5,349.56,138.56,0.35,188.5,331.7,225.5,-36.47,-27.1,-3.31,23.62,33.94,36.86,42.72,4.59,639,786.5,1284.97,403.12,88.8,391.5,958.81,610.44,54.84,61.25,69.6,4.44,28.05,58.75,63.65,13.5,13.74,19.71,22.82,4.1
"Physor","Physcia_sorediosa",0,11.61,19.8,23.48,1.65,21.56,27.7,29.34,0.8,1.39,10.53,16.55,3.2,10.87,17.3,21.6,2.6,569.35,1347,1609.4,258.33,345.5,629.33,875.3,214,17.36,21.77,54.71,4.88,30.2,43.4,83.35,13.81,169,288.12,346,46,0,0,19.4,1,-26.31,-13.5,-2.1,5.79,36.59,40,43,1.7,1084.25,1429,1636.3,150,57.1,281,961.3,200.5,56.3,63,71.35,5.83,55.9,67,76,6.25,21.27,30.08,33.14,1.86
"Physte","Physcia_stellaris",0.13,2.8,8.6,17.8,6.67,15.55,21.8,27.6,5,-13.9,-4.33,10.12,8.75,15.04,25.8,33.9,7.15,375.8,829,1303.1,467,70.5,446,597.6,198.5,13.19,21.7,55.22,11,35.65,49.3,341.5,20.95,93.6,151,294.2,51,0.5,67,299.6,115.5,-42.12,-31.8,-10.7,9.55,33.3,38.97,43.71,4.4,574.4,861,1444.6,381,72.8,205.67,956.3,274,50,60,67,5.75,35.44,61,68,8.33,14.6,21.55,28.89,5.64
"Phyten","Physcia_tenella",0.04,2.57,7.67,16.25,6.14,13.63,18.2,24.12,4.36,-12.59,-0.92,12.63,9.76,8.03,18.95,31.12,8.58,300.65,795,2466.73,738.56,16.93,231,697.45,359.25,6.18,20.65,82.76,21.3,23.94,76.55,1201.2,177.79,81.85,147,348.65,99,0,88.5,460.83,198.62,-39.79,-26.55,-3.31,20.04,29.59,36.6,42.87,5.39,405.55,764,1310.32,411,0,341.5,937.32,544.25,51,63,76.15,12,29.85,59,77,22.75,12.63,17.8,23.95,4.94
"Phyund","Physcia_undulata",0,10.49,21.5,25.51,10,18.53,28.6,32.61,7.38,0.25,11.7,19.65,10.32,8.45,14.8,22.49,8.77,270.3,507.5,1391,469.75,32.25,301,984.7,300.25,24.52,56.8,126.29,35.98,29.14,94.7,627.14,141.76,153.7,317.5,356.45,97.88,0,0,20.75,2.5,-28.11,-5.7,6.89,17.1,36.3,41.8,48.17,7,1008.9,1549.92,1933.95,478.5,352.48,859.25,1650,480.25,49.75,60,72.4,10.12,38.8,62.5,76.25,15,17.84,32.04,36.53,12.97
"Plagla","Platismatia_glauca",0.15,-0.7,5.63,11.7,4.07,11.38,16.3,21.3,4.36,-15.15,-3.95,5.3,7.8,11.84,20.79,31.45,8.95,413.5,1164,3234.13,907.8,119.25,399,975.2,280,4.15,13.03,34.75,9.38,13.34,41.07,167.52,39.5,70.75,130,230.95,48.62,21.42,270,781.39,293.25,-44.6,-30.6,-13.57,12.74,28.25,34.2,40.42,5.54,324.5,614,1028,273,0,111,589.46,295.75,55,65,78.25,10.58,34.12,62.39,78,19.71,10.4,15.55,20.6,4.71
"Plaher","Platismatia_herrei",0.08,4.46,8,11.95,4.33,13.24,15.6,20.46,2.9,-4.11,2.23,7.76,5.54,8.82,14.55,19.97,4.08,769.4,1895.5,3741.32,1188.25,97.35,340.2,1086.59,371.5,4.64,9.85,24.17,7.51,12.85,48.3,210.16,55.73,114.27,183.75,274.53,67.56,9.9,161.33,703.07,360.62,-31.65,-18.7,-9.55,10.3,29.14,34,40.45,4.29,378.8,653.72,1030.38,307.75,0,173.32,626.65,315.12,57.73,71,80,9.27,43.45,66.25,78.67,19.67,12.52,14.93,19.54,3.24
"Plalac","Platismatia_lacunosa",0.03,2.47,6.63,10.91,3.55,10.73,14.8,21.77,5.88,-9.67,-1.15,4.85,5.62,11.07,15,27.9,9.75,703.17,1764.12,4047.03,1747.88,200.05,523.92,1394.24,337.81,3.95,9.6,22.07,9.02,9.14,31.75,90.78,25.49,116.45,152.5,233.1,43.29,26.93,237,1040.8,353.29,-37.93,-25.45,-13.46,11,26.56,32.87,38.26,6.85,292.95,589.5,878.85,368.62,0,58.5,343.05,137.38,59,72,84,13.88,53.45,68.5,83,17.09,9.81,14.23,21.59,5.95
"Planor","Platismatia_norvegica",0.06,0.68,5.8,10.69,3.3,11.43,14.58,17.77,2.3,-11.44,-1.1,5.32,5.88,10.08,15,24.5,4.9,631,2181.5,3976.6,1515.5,229.4,550.4,1391.8,367,3.52,7.75,19.24,4.8,8.74,27,69.47,21.37,92,153,241.2,60.25,31,352,948.9,341.67,-39.84,-24.8,-12.16,12.05,26.95,31.13,36.6,3.8,328.87,463.75,841.73,238.64,0,14,293,130,65,73.83,80.86,7.5,53.82,73,79.2,13,10.55,13.88,17.06,2.3
"Plaste","Platismatia_stenophylla",0.05,5.66,9.29,12.6,3.52,14.77,17.94,21.36,3.31,-4.68,2.5,7.82,5.94,10.23,15.55,22.4,5.84,517.05,1314.25,3372.85,1263.04,72.7,232,589.3,151.5,5.07,15.1,35.2,11.75,24.41,84.61,248.8,63.55,123.22,170.5,270.65,75.7,12.15,89.83,491.19,221.15,-32.2,-19.15,-9.71,10.86,32.21,36.9,40.53,4.06,615.25,764.5,1065.53,192.94,51.4,335.92,640.19,244.96,57,65.36,74.65,9.42,37,52.66,70.3,16.25,13.87,17.26,20.69,3.5
"Platuc","Platismatia_tuckermanii",0.03,2.77,5.96,13.21,3.63,15.96,19.2,24.03,2.28,-14.25,-7.9,3.47,7.1,18.91,27.2,32.99,5.47,720.6,1085,1578.31,421.62,373.78,481.43,619.43,88.42,11.39,16.25,21.13,5.3,30.5,40.41,51.6,6.86,110.82,133,189.4,28.67,11.65,166.94,390.84,172.25,-41.39,-34.32,-22.25,7.8,33.32,36.1,38.9,2.2,575.3,687.5,1150.75,175.5,23.43,118.25,208.35,71.38,56,61,69.35,5.81,54.5,62,69.67,6,15.38,18.82,24.18,2.49
"Pllpar","Parmeliella_parvula",0,3.85,5.6,11.22,5.08,11.83,15.15,19.25,3.03,-4.53,-1.35,5.02,7.49,11.4,15.05,20.23,2.22,1385.78,1903,4276.25,1698.75,248,530.8,1370.75,752,3.67,9,11.97,6.06,9.18,28.59,76.73,29.92,109.25,155.5,218.75,66.12,36.75,295.5,1050.25,517,-31.12,-25,-13.57,11.44,28.57,30.4,39.28,5.89,373.25,469.5,925,304.25,0,0,381.25,162.25,63,74.55,78,8.25,52.5,74,78.25,13,10.84,14.72,18.6,3.05
"Plltri","Parmeliella_triptophylla",0.01,-0.95,5.95,14.93,5.36,11.35,17.8,22.13,3.42,-15.85,-6.03,8.95,11.08,11.75,23.15,31.35,9.99,651.5,1170.17,2645.12,480.5,160.75,479.71,746.67,114.08,5.42,13.12,29.79,4.73,17.28,37.55,87.68,8.85,78.5,131,250,42.72,2,295.5,699,318.62,-43.67,-31.95,-14.58,11.33,27.05,35.01,38.46,3.12,317.67,638.75,1452,267.42,0,86.8,745.12,115.83,52.25,63.28,75,7.62,50.88,63,74.25,7.31,10.19,17.32,21.92,3.83
"Pmoarn","Parmotrema_arnoldii",0.02,3.45,10.27,17.42,6.73,13.41,17.35,26.57,4.91,-13.22,2.95,12.82,8.38,3.85,13,29.81,15.72,503.25,1193.5,3194.62,1237.88,22.5,443.5,1072.25,332.69,5.78,16.18,50.29,12.73,14.6,42.55,726,30.53,114,199,345.18,102.25,0,36.38,326,154.59,-40.2,-18.25,-4.63,16.62,29.67,34.55,43.1,4.9,430.25,722.5,1597.75,545.88,0,159,828,283.75,54.83,65.12,80.69,12.34,53.94,66,80,10.25,12.65,16.9,27.71,5.03
"Pmoaus","Parmotrema_austrosinense",0,12.75,15.9,20.65,4.5,17.5,26.2,29.17,2.5,-0.2,7,16.35,7.53,3.47,20,26,6.25,538.79,1145,1570.5,351.88,248,525,822,125.5,17.48,21.37,52.45,11.35,23.85,48.3,128.25,13.15,176,224,352,88,0,2,17.75,6,-27.7,-19.2,-1.4,10.28,31.85,41,44.45,2.22,1057,1300,1773.88,331.38,135,317.5,1091,444.42,55,61,65,3,57.88,64,68.64,4.42,16.79,27.41,32.04,4.24
"Pmocet","Parmoterma_cetratum",0,10.03,14.05,21.55,7.58,19.86,24.66,28.01,4.77,-0.68,2.55,15.37,8.53,12.07,19.79,24.72,4.77,478.25,1298.5,1704.9,438,306.85,582.5,805.45,253.94,12.95,18.75,58.37,8.93,31.09,38.2,89.24,17.98,153.45,183.5,335.85,100.25,0,6.62,50.35,23.5,-28.6,-24.5,-3.88,11.6,33.96,39.05,44.44,1.78,958.15,1211.62,1582.75,352.25,30.2,196,970.3,235.56,54.25,60,64.35,4,58.3,63.5,69,4.56,19.42,24.83,30.17,6.61
"Pmochi","Parmotrema_chinense",0.02,5.66,11.87,21.84,6,15.15,20.1,27.8,6.73,-7.87,5,14.78,13.13,6.34,18.45,28.5,14.77,403.2,1161,1969.4,547,18.3,475,800.8,302,9.75,20.4,61.64,10.67,28.96,47.3,970.96,32.4,126,207,354.23,139,0,14,231.6,73,-35.44,-20.45,-2.44,19.4,32.12,37.5,41.58,4.6,601.8,990,1585.8,479.67,31.67,247,856.6,299,53.2,64,73.8,6.33,53.6,65,76.13,9,14.52,19.63,30.19,7.46
"Pmocri","Parmotrema_crinitum",0.01,3.87,10.78,21.14,11.11,14.87,20.83,28,7.96,-12.42,1.75,14.3,16.22,7.97,21.03,31.52,10.72,581.85,1161.5,1916.45,594.75,223.65,503.5,816.7,173.58,10.88,19.3,35.12,4.81,27.82,42.22,70.91,10.82,117.97,176.5,320.85,122.62,0,30.9,270.47,133,-38.98,-25.4,-7.37,18.64,31.83,37.5,41.2,4.7,575.05,878.33,1552.98,699.25,29.13,168,714.4,184.14,55,62,72.92,5.5,52,64,75,8,14.29,20.58,30.46,9.97
"Pmocrs","Parmotrema_cristiferum",0,12.67,20.02,23.52,4.26,17.48,27.66,28.73,0.78,2.62,12.25,17.64,6.15,8.19,14.69,23.04,6,455.35,1309.62,1676.22,213.25,223.4,693,962.45,330.08,16.97,24.16,59.48,4.8,29.11,39.23,130.28,16.65,183.55,305,353.51,62.55,0,0,18.2,1,-25.02,-10.88,-1.97,9,33.67,39.11,44.13,2.35,1050.1,1482.5,1671.4,192,82.52,320.62,1093.75,195,53.85,64,72.07,6.75,54,68,74.57,7,16.84,29.86,31.99,1.87
"Pmodil","Parmotrema_dilatatum",0.01,13.82,19.55,24.23,3.3,19.88,27.5,28.62,1.5,2.62,10.8,20,5.9,3.8,16.8,22.54,6.72,1045.87,1292,1606,286,488.6,696,1138,248,17.78,23,29.46,3.95,19.24,39.2,54.44,13.47,189.4,291,353.8,68,0,0,8,1,-24.36,-13.3,1.54,9,34.18,39.56,43.24,1.6,1142,1454,1816.6,232,107,296.11,942.8,195,57,62,72.8,5,61.27,67,76,5,19.65,29.38,32.41,2.82
"Pmoend","Parmotrema_endosulphureum",0,14.32,20.8,25.04,2.5,22.92,27.9,28.57,0.6,4.64,12.9,20.7,4.75,8.16,14.5,18.82,4.35,1286.04,1454,1642.6,226,607.4,813,1005,142,16.22,23,24.98,5,28.18,34.2,44.42,5.4,206.8,306.8,350,29,0,0,17.2,0,-21.98,-10.4,3.04,7.7,34.84,39.2,41.04,1,1155.4,1508,1718.2,136.8,74.8,279,567.88,157,60,65,69.6,4.4,61.8,69,73,4,23.53,30.36,32.23,1.45
"Pmoeur","Parmotrema_eurysacum",0.01,12.55,17.2,23,4.63,16,24.7,29.32,6.5,0.45,10.08,18.95,6.95,3.22,15.85,24.17,13.23,295,960.17,1605.79,644.12,210.25,499.5,997.75,238.38,16.17,30.15,95.07,29.94,16.69,49.45,131.93,34.55,173,268,356.75,104.5,0,1,17,3.62,-26.78,-15,3.35,12.15,31.35,40.53,44.36,4.45,1055.62,1550.25,1904.25,305,169,771,1390.62,792.75,47.25,58.86,65.5,8.75,43.25,61.83,70.25,7.75,15.18,24.89,32.24,7.68
"Pmogar","Parmotrema_gardneri",0,12.24,19.5,23.75,6.56,23.95,27.4,28.16,2.2,-0.08,10.6,18.62,10.49,9.74,17.2,24.72,8.86,1039.7,1310,1619.4,304,459.5,685.5,996.35,268.75,18.15,21.3,25.81,4.45,28.21,38.4,57,14.54,175,278.5,347.3,122.88,0,0,21.05,6,-27.18,-14.6,2.4,15,37.33,39.4,42.63,2,1011.73,1391,1679.25,303.95,93.9,246,968.3,154.4,56.85,62,71.3,5.93,58,67,75.3,7,23.99,29.18,31.42,4.51
"Pmohai","Parmotrema_haitiense",0,11.6,13.7,18.6,2.8,16.5,24.8,27.7,4.8,-0.85,3.7,13.2,9.3,4.8,22.5,25,16.4,432,1134,1359,131,21,502,714,88,16.6,21,54.8,5.1,37.4,49.2,772,13.95,173,207,356,131,0,4,35.5,14,-27.6,-22.5,-4.4,14.7,34.4,39.35,41.9,3.05,898,1118,1539,213,123,256,692,222,57,62,73,4,59,65.5,80,5,16.06,24.85,29.53,5.58
"Pmohyl","Parmotrema_hypoleucinum",0,12.28,18.8,22.5,4.57,18.61,27.3,28.86,1.93,0.23,10.15,17.26,6.75,6.93,17.3,23.86,7.05,200.6,1234,1573,200.5,15,564.5,840.73,251,17.44,22.8,147.76,4.25,33.14,46.3,1530.52,16.6,177.4,275,360,100.5,0,1,24.2,2,-25.72,-15.2,1.37,11.6,35.94,39.7,44.18,2.1,953.2,1358,1607.2,295,84.6,289,1325.15,207.33,57.4,62,72.8,5.89,58,67,75.6,6,18.29,28.92,31.86,3.12
"Pmohyp","Parmotrema_hypotropum",0.07,9,14.9,22,5.8,20.8,25.8,29,3,-4.4,3.5,15.6,8.5,10.7,21.3,27.2,5.5,284,1172.67,1555.33,234.5,47,526,771.75,86,16.27,20.95,100.84,3.4,34.9,47.77,543.24,10,154,200.86,346.8,84,0,6,88,15,-30.7,-22.54,-0.5,10.45,36.33,40.3,45.2,2.3,841,1200,1627.2,317,89,241,1367,166,56.25,61,69,3,57,64,72,4.5,20.51,26.72,31.86,4.61
"Pmolou","Parmotrema_louisianae",0,15.3,19.3,22.03,1.5,18.32,27.9,28.68,0.6,5.58,9.9,16.56,2.85,4.6,18.1,21.46,3,831.6,1347,1632.6,326,422.6,581,1061.2,240,18.34,21.2,35.22,4.7,18.1,46,67.78,17.8,219.4,275,342.4,49,0,1,3.8,1,-20.12,-15,-3.73,5.05,33.34,40.7,43.04,2.15,1138.6,1446,1801.8,127,75.6,331.5,1011,234,55.2,62,74.2,3,61.8,66,79.6,3,18.14,30.08,32.06,2.02
"Pmomad","Parmotrema_madagascariaceum",0,13.2,17.08,20.73,4.38,20.57,26.15,27.66,3.05,1.4,7.4,17.88,7.3,3.21,19.07,24.09,5.01,986.25,1257,1675.32,148.75,487.88,601.5,964.9,174.25,14.97,21.32,29.36,4.02,21.96,42.75,53.94,14.46,178.7,229.5,351.95,90.25,0,1,13,5.5,-24.62,-18.9,2.24,8.2,35.28,40.07,41.67,1.56,1119.2,1308.5,1808.7,256.33,91.55,269.5,982.55,188.25,57,61,65.65,2,56.13,64.75,72.37,3.75,20.43,27.32,30.01,4.46
"Pmomar","Parmotrema_margaritatum",0.02,6.66,11.1,17.17,5.5,19.4,23.1,26.79,3.85,-9.9,-0.7,11.49,8.1,12.56,24,30.65,6.94,673.9,1020.5,1634.3,345.5,386.3,517,728.9,106,14.05,20.6,37.22,3.03,27.89,44.5,56.27,7.32,139.1,170.5,289.5,34.5,0.1,31,137.1,68.5,-36.8,-27.5,-12.83,7.9,34.53,39.1,41.7,3.6,711.6,1022,1525.7,365.86,50.5,168.67,862.9,119,55.2,61,67.9,3.75,54.2,62,70.8,5.75,18.77,23.06,28.4,4.33
"Pmomel","Parmotrema_mellissii",0,11.43,18.1,22.22,4.7,16.7,26.6,27.9,5.9,1.6,9.8,16.5,5.8,3.93,17.3,21.1,4.62,1068.1,1386,1942.27,295,526,709,1366,226,12.72,19.6,26.52,6.7,13.48,36.2,51.44,8.47,165.15,273,346.4,93,0,1,23.9,3,-26.26,-15.5,-1.43,8,29.84,39.3,41.18,4.6,1064.35,1446,1649.6,293,33.15,276,681.6,227,55.7,61,69,3,53,66,76,5,16.47,28.41,30.7,7.94
"Pmomic","Parmotrema_michauxianum",0.02,13.2,18.3,21.98,3.98,24.53,27.2,28.4,1.64,1.06,8.35,14.78,5.88,12.84,19.1,24.04,3.47,1093.25,1293.25,1593.35,226.25,463.65,559.25,815.02,131.1,17.57,21.1,25.4,3.68,33.43,47.3,58.9,10.01,177.97,243,323.38,72.5,0,1,15.35,4,-26.01,-17.5,-7.3,6.76,37.77,40.3,41.9,1.43,1086.8,1370.5,1540.55,215.82,81.65,276.5,417.7,129,58,61.58,69.35,3,59,65,74,3.23,24.75,28.72,31.23,2.71
"Pmoper","Parmotrema_perforatum",0.02,8.97,16.8,22.06,5.8,16.43,26.7,29.02,3.9,-3.15,7.23,14.95,7.08,7.78,19.29,25.42,4.77,613.75,1256.7,1653.12,277.62,89,528.75,806.5,131.5,13.25,20.8,46.21,4.74,32.98,47.7,225.9,12.36,152.75,238.12,339.33,93.23,0,2,93.5,10.25,-29.49,-17.67,-4.91,10.28,33.6,39.99,43.11,2.33,690.7,1287.04,1565.12,306,68,271.97,743.44,178,58,62,73,4.54,58,65.5,75,4.58,15.83,28.02,32.08,5.96
"Pmoram","Parmotrema_rampoddense",0.01,14.86,19.3,22.78,1.94,19.56,27.5,28.14,1,5.48,10.2,17.3,3.4,3.3,17.4,21.1,4.02,1133.8,1339,1633.67,257,494.2,659.5,1027.4,228.5,17.6,21.5,25.27,4.12,17.6,41.6,53.9,13.66,209.4,276.5,346.8,52.33,0,0.33,3.7,1,-20.78,-15,-0.82,5.43,33.26,40.15,41.54,1.4,1205.2,1433.67,1737.4,131,98.8,296,755.8,167.5,58.6,62,70.4,3.5,62.15,66,74,3,19.2,29.39,31.24,1.88
"Pmorig","Parmotrema_rigidum",0.01,17.2,19.9,23,1.54,26.75,27.8,29.19,0.65,7.3,10.7,16.68,2.55,11.22,17.1,20.18,2.91,1002.6,1350,1606.7,233.67,406.9,679,855.97,202,18.51,22.3,29.38,4.6,32.35,40.8,71.13,12.46,239.2,292,338.45,34.62,0,0,1,1,-17.79,-13.03,-3.73,4.85,38.12,39.9,42.79,1.8,1247.27,1429.25,1551,115.25,62.65,250.5,520.7,200,60.05,64,72.45,6.88,64,68,76.15,7,28.47,30.26,32.39,1.48
"Pmostu","Parmotrema_stuppeum",0.01,6.83,12.4,21.72,6,13.02,20.8,27.46,5.11,-7.68,6,16.66,11.95,3.32,17.4,29.04,16.4,386.28,1055,1728.6,467,34.33,513,936,255,12.29,20.9,69.6,14.6,14.2,41.1,520.57,20.7,138.6,192,350.71,140.67,0,9,161.2,54,-34.58,-21,-0.84,15.8,27.98,36.5,43.4,4.9,680.4,1144,1784.7,642.67,21.4,297,1241.4,625,49,60,69,6.5,48.4,61,72.8,10,11.72,20.51,29.24,5.55
"Pmosub","Canomaculina_subtinctoria",0,8.7,15.3,21.03,4.23,18.08,25.55,27.87,4.29,-4.4,5.12,15.76,8.19,3.8,20.17,28.08,7.04,480.25,1151.5,1531.25,384,294.25,537,846.75,115.62,18.27,21.7,55.59,6.85,23.35,46.75,87.3,10.59,160,207,327.25,79.19,0,3.5,72.75,10.19,-32.38,-21.48,-6.71,10.84,33.88,40.3,42.8,2.24,889.5,1284,1723.38,346.62,106.75,293,1146.75,481.75,48.12,60,65,3,47.25,62.25,68.38,5.85,17.43,25.76,30.13,6.43
"Pmosul","Parmotrema_sulphuratum",0,19.82,22.02,24.26,2.11,27.3,27.81,28.88,0.46,10.65,14.9,19.19,3.79,9.35,12.85,17.03,3.31,1225.85,1318,1484.45,138.54,766.66,815,1003,100.5,20.41,24.14,28.15,1.49,28.04,34.25,36.28,3.95,292.13,321,351.75,28.6,0,0,0,0,-13.47,-7.55,0.38,5.77,37.32,39,40.75,0.65,1483.15,1536.22,1653.4,59.25,246.95,304,443.35,123.75,61,64,70.95,3.59,66.02,68,74.9,3.72,29.18,30.21,32.72,1.13
"Pmotin","Parmotrema_tinctorum",0.01,14.01,19.33,24.09,3.28,20.81,27.43,28.55,1.35,2.51,10.25,20,5.74,4.5,17.5,23.1,6.14,978.2,1328.88,1621.85,239.84,461.5,647.5,1000.41,235.75,17.5,21.8,31.84,4.94,22.11,41.67,58.97,13.99,186.05,278.38,352.26,78.88,0,0.25,8.97,1,-24.6,-14.84,3.49,8.83,35.54,40.01,42.49,2.1,1145.32,1430.58,1819.05,227.65,75.57,294.25,998.7,182.25,58,62,71.32,5.33,59,66.1,76,5.92,20.61,29.22,32.22,2.41
"Pmoult","Parmotrema_ultralucens",0,13.78,18.3,21.34,2.6,22.49,27.2,28.11,1.27,2.64,8.6,13.53,4,13.15,18.9,21.41,2.77,1118.6,1314,1615.4,241,487.7,585,797.4,160.33,15.69,21.5,25.4,4.27,33.38,44.4,55.58,11.77,180.1,250,316.2,61,0,1,10,2,-25.56,-16.9,-8.68,5.25,38.47,40.2,41.41,1.25,1166,1382,1537.4,172.12,122.25,281.5,412.2,164.5,58.95,61,67.2,2.83,57.8,65,72.2,3,21.87,28.84,30.67,2.33
"Pmoxan","Parmotrema_xanthinum",0,12.13,18.1,21.26,4.74,20.9,26.7,27.77,2.81,1.2,8.8,16.44,6.9,6.16,18.5,22.99,4.35,1023.2,1295.33,1630.1,224,499.5,622,885.4,165.5,15.95,21.5,29.61,4.61,25.11,41.5,51.23,10.25,169,255.5,346.97,89,0,1,19.1,5,-26.6,-16.55,-0.08,8.6,35.9,39.5,42.29,1.25,1068.5,1333,1720.5,302.17,86.8,225,896.3,146,58,61,69.35,3,58,66,74.7,3.83,20.84,27.98,30.35,4.48
"Pmozol","Parmotrema_zollingeri",0,15.09,19.75,24.92,6.09,18.85,26.45,27.64,2.3,4.26,15.75,22.09,11.56,2.42,7.7,22.14,14.64,1158.43,1458.25,1755.1,180.75,491.95,847.5,1473.5,506.88,17.44,20.73,26.57,3.5,14.73,32.5,53.89,25.67,201.45,324,358.25,102.38,0,1,4.75,1.75,-22.63,-6.3,11.46,22.51,31.19,40.44,42.9,3.4,1294.15,1513,1876.85,355.83,204.1,476,951.46,565.12,57.9,61,70.65,2.75,60.8,66,73.55,5.5,18.52,27.78,30.27,3.38
"Pnaque","Parmelina_coleae",0.01,8.4,14.5,17.35,2.2,19.66,22.9,27.24,3.57,-1.9,7.42,10.98,2.8,12.8,17.45,22.4,3.8,393.3,682,1606.4,616,23.2,43,493.2,69.2,13.35,32.5,64.77,25.1,43.9,554,1032.3,479.89,139.7,237,320.2,82,1,6,112.7,19,-30.02,-14.2,-7.46,6.37,37.49,42.6,44.8,2,911.7,1248,1379,166.5,171.8,869,1005,246,50,58,63,6,36.6,49,58.4,8.67,19.05,22.37,27.55,3.91
"Polcon","Leptogidium_contortum",0.01,5.66,7.85,10.25,1.75,13.51,14.65,17.29,1.97,-1.89,2.02,5.09,2.47,10.41,12.4,17.78,2.46,1359.2,2669,3697.3,1042,351.05,493.5,1079.7,176.42,4.75,7.02,12.67,4.15,13.04,31.4,50.96,11.2,147.28,183,229.65,39.75,57.1,218.33,436.9,224,-26.13,-17.38,-12.78,5.27,29.89,32.1,36.8,3.34,421.5,488.5,781.5,243.42,0,43,225.1,102.5,66,76.5,81.15,9,54.25,72.5,81.15,9.75,12.87,14.15,16.56,1.91
